Código	Artículo	Precio sin impuestos	Porcentaje impuestos	Porcentaje liquidación	Fecha fin de promo	Fecha reposición	Canon digital	Part number	Stock local	Stock provincias	Id marca	Id categoría	Categoría	URL imagen	Código Icecat
10113410	Auriculares BLUE ELEMENT TWS  Be Pop 2 Blanco	PVM	7	0			0	BE-POP-2-WHITE	1	10			Multimedia>Sonido>Auriculares y micrófonos	https://cluster.binarycanarias.com/img/cp-10113410.jpg	-1
10114199	"Monitor Gaming XIAOMI 27"" QHD 165Hz Negro (BHR5039GL)"	PVM	7	0			0	BHR5039GL	1	2			Periféricos>Monitores>Hasta 32 pulgadas	https://cluster.binarycanarias.com/img/cp-10114199.jpg	92995900
10114339	Cargador XIAOMI Mi 80W Wireless USB-C (BHR5063GL)	PVM	7	0			0	BHR5063GL	3	4			Tablets / eBooks>Accesorios PAD y Tablet>Alimentación y Powerbank	https://cluster.binarycanarias.com/img/cp-10114339.jpg	94384130
10250291	takeMS DDR2 512Mb PC667 SoDimm 8Chp.TMS51S264C08x-665	PVM	7	70			0	TMS51S264C08x-665	2	2			Integración>Memorias>Sodimm DDR2		-1
10355830	"SSD Kingston 120Gb A400 Sata3 2.5"" (SA400S37/120G)"	PVM	7	0			5.45	SA400S37/120G	10	10			Integración>Discos Internos>Discos SSD	https://cluster.binarycanarias.com/img/cp-10355830.jpg	36750821
10357062	"Disco WD Blue 1Tb 3.5"" SATA3 64Mb (WD10EZRZ)"	PVM	7	0			5.45	WD10EZRZ	5	10			Integración>Discos Internos>SATA 3.5	https://cluster.binarycanarias.com/img/cp-10357062.jpg	29398892
10358839	Pendrive SANDISK Ultra USB 3.0 32Gb (SDCZ48-032G-U46)	PVM	7	0			0.24	SDCZ48-032G-U46	0	10			Periféricos>Pendrive>32Gb	https://cluster.binarycanarias.com/img/cp-10358839.jpg	19166764
10109262	Cable AISENS USB2.0 A/M-MINI B/M 3m Negro (A101-0026)	PVM	7	0			0	A101-0026	9	10			Periféricos>Cables>Datos	https://cluster.binarycanarias.com/img/cp-10109262.jpg	70325611
10109528	"Soporte Tv AISENS Gira/Inclina  23-42"" Negr(WT42TS-005)"	PVM	7	0			0	WT42TS-005	2	6			Imagen y sonido>Soportes TV>Hasta 42 pulgadas	https://cluster.binarycanarias.com/img/cp-10109528.jpg	70342067
10109536	Soporte Approx para Tablet Negro (APPSTABLET10)	PVM	7	0			0	APPSTABLET10	4	7			Tablets / eBooks>Accesorios PAD y Tablet>Soportes y Docks	https://cluster.binarycanarias.com/img/cp-10109536.jpg	91261814
